constraint,layer,scheme,corpus,n_rollouts_used,n_rollouts,n_rollouts_dropped,n_defined,auroc_raw,auroc,sign,null_global_mean,null_global_p95,p_global,null_task_mean,null_task_p95,p_task,degenerate_flag
emb_temp,18,B,success_ever,300,300,0,46800,0.452452,0.547548,-,0.519724,0.549316,0.05994,0.518339,0.545267,0.042957,False
emb_temp,18,rollout_max,success_ever,300,300,0,300,0.369218,0.630782,-,0.526781,0.565002,0.000999,0.530498,0.572686,0.000999,False
emb_temp,18,rollout_mean,success_ever,300,300,0,300,0.42085,0.57915,-,0.526649,0.566002,0.020979,0.524121,0.558555,0.012987,False
emb_temp,19,A,success_ever,300,300,0,155700,0.431166,0.568834,-,0.510924,0.526575,0.000999,0.512237,0.528593,0.000999,False
emb_temp,19,B,success_ever,300,300,0,46800,0.452451,0.547549,-,0.519724,0.549389,0.058941,0.518367,0.545265,0.043956,False
emb_temp,19,rollout_max,success_ever,300,300,0,300,0.365949,0.634051,-,0.526643,0.565514,0.000999,0.530295,0.573149,0.000999,False
emb_temp,19,rollout_mean,success_ever,300,300,0,300,0.422059,0.577941,-,0.526609,0.56675,0.021978,0.524113,0.558576,0.014985,False
emb_temp,20,A,success_ever,300,300,0,155700,0.432024,0.567976,-,0.510887,0.526518,0.000999,0.51198,0.528706,0.000999,False
emb_temp,20,B,success_ever,300,300,0,46800,0.453168,0.546832,-,0.519708,0.549583,0.061938,0.518431,0.54548,0.044955,False
emb_temp,20,rollout_max,success_ever,300,300,0,300,0.365814,0.634186,-,0.526641,0.565539,0.000999,0.530277,0.573335,0.000999,False
emb_temp,20,rollout_mean,success_ever,300,300,0,300,0.424477,0.575523,-,0.52662,0.568047,0.024975,0.524195,0.558699,0.016983,False
emb_temp,21,A,success_ever,300,300,0,155700,0.431811,0.568189,-,0.510803,0.526236,0.000999,0.512285,0.528784,0.000999,False
emb_temp,21,B,success_ever,300,300,0,46800,0.452928,0.547072,-,0.51967,0.549644,0.058941,0.518313,0.545262,0.043956,False
emb_temp,21,rollout_max,success_ever,300,300,0,300,0.366128,0.633872,-,0.526562,0.564204,0.000999,0.530622,0.574186,0.000999,False
emb_temp,21,rollout_mean,success_ever,300,300,0,300,0.425865,0.574135,-,0.526542,0.567216,0.02997,0.524264,0.559095,0.017982,False
emb_temp,22,A,success_ever,300,300,0,155700,0.4311,0.5689,-,0.510786,0.525932,0.000999,0.512848,0.529628,0.000999,False
emb_temp,22,B,success_ever,300,300,0,46800,0.452418,0.547582,-,0.519648,0.54925,0.058941,0.51822,0.545251,0.03996,False
emb_temp,22,rollout_max,success_ever,300,300,0,300,0.361247,0.638753,-,0.526625,0.564063,0.000999,0.531589,0.576929,0.000999,False
emb_temp,22,rollout_mean,success_ever,300,300,0,300,0.42497,0.57503,-,0.5265,0.567194,0.026973,0.524274,0.55787,0.016983,False
emb_temp,23,A,success_ever,300,300,0,155700,0.427885,0.572115,-,0.510729,0.525921,0.000999,0.513948,0.531432,0.000999,False
emb_temp,23,B,success_ever,300,300,0,46800,0.449018,0.550982,-,0.519648,0.548912,0.043956,0.518101,0.545636,0.027972,False
